Desert Eagle | Blaze,4,0.00,0.08,The Overpass Collection
AWP | Dragon Lore,6,0.00,0.70,The Cobblestone Collection
AWP | Electric Hive,5,0.00,1.00,eSports 2013 Winter Case
AWP | Elite Build,5,0.00,1.00,Operation Wildfire Case
AWP | Fever Dream,5,0.00,1.00,Spectrum Case
AWP | Graphite,5,0.00,0.12,Operation Bravo Case
AWP | Gungnir,6,0.00,1.00,The Norse Collection
AWP | Hyper Beast,6,0.00,1.00,Falchion Case
AWP | Lightning Strike,6,0.00,1.00,CS:GO Weapon Case
AWP | Man-o'-war,6,0.00,1.00,Chroma Case
AWP | Medusa,6,0.00,1.00,The Gods and Monsters Collection
AWP | Mortis,5,0.00,1.00,Clutch Case
AWP | Neo-Noir,6,0.00,1.00,Danger Zone Case
AWP | Oni Taiji,6,0.00,1.00,Operation Hydra Case
AWP | PAW,4,0.00,1.00,Horizon Case
AWP | Phobos,4,0.00,1.00,Gamma Case
AWP | Pink DDPAT,4,0.00,1.00,The Overpass Collection
AWP | Pit Viper,4,0.00,1.00,The Italy Collection
AWP | Redline,5,0.10,0.40,Winter Offensive Weapon Case
AWP | Safari Mesh,2,0.00,1.00,The Lake Collection
AWP | Snake Camo,3,0.00,1.00,The Dust Collection
AWP | Sun in Leo,2,0.00,1.00,The Gods and Monsters Collection
AWP | The Prince,6,0.00,1.00,The Canals Collection
AWP | Wildfire,6,0.00,1.00,CS20 Case
AWP | Worm God,4,0.00,0.45,Chroma 2 Case
FAMAS | Afterimage,5,0.02,0.40,eSports 2013 Winter Case
FAMAS | Colony,1,0.00,1.00,The Italy Collection
FAMAS | Commemoration,6,0.00,1.00,CS20 Case
FAMAS | Contrast Spray,1,0.00,1.00,The Office Collection
FAMAS | Crypsis,3,0.00,1.00,Prisma Case
FAMAS | Cyanospatter,2,0.00,1.00,The Lake Collection
FAMAS | Decommissioned,3,0.00,1.00,CS20 Case
FAMAS | Djinn,5,0.00,1.00,Chroma 2 Case
FAMAS | Doomkitty,3,0.00,1.00,eSports 2013 Case
FAMAS | Eye of Athena,5,0.00,1.00,Horizon Case
FAMAS | Hexane,3,0.00,0.40,CS:GO Weapon Case 2
FAMAS | Macabre,3,0.00,1.00,Operation Hydra Case
FAMAS | Mecha Industries,5,0.00,1.00,Glove Case
FAMAS | Neural Net,4,0.00,0.60,Falchion Case
FAMAS | Night Borre,1,0.00,1.00,The Norse Collection
FAMAS | Pulse,4,0.00,1.00,Winter Offensive Weapon Case
FAMAS | Roll Cage,6,0.00,1.00,Gamma 2 Case
FAMAS | Sergeant,4,0.00,1.00,Operation Phoenix Weapon Case
FAMAS | Spitfire,4,0.00,1.00,The Alpha Collection
FAMAS | Styx,4,0.00,1.00,The Cache Collection
FAMAS | Sundown,3,0.00,1.00,The St. Marc Collection
FAMAS | Survivor Z,3,0.00,1.00,Shadow Case
FAMAS | Teardown,3,0.00,1.00,The Safehouse Collection
FAMAS | Valence,4,0.00,1.00,Operation Wildfire Case
G3SG1 | Arctic Camo,2,0.00,1.00,The Office Collection
G3SG1 | Azure Zebra,3,0.00,1.00,eSports 2013 Winter Case
G3SG1 | Black Sand,3,0.00,1.00,Shattered Web Case
G3SG1 | Chronos,4,0.00,0.40,The Gods and Monsters Collection
G3SG1 | Contractor,1,0.00,1.00,The Baggage Collection
G3SG1 | Demeter,3,0.00,1.00,Operation Bravo Case
G3SG1 | Desert Storm,1,0.00,1.00,The Dust 2 Collection
G3SG1 | Flux,5,0.00,0.90,Shadow Case
G3SG1 | Green Apple,2,0.00,0.30,The Bank Collection
G3SG1 | High Seas,4,0.00,1.00,Horizon Case
G3SG1 | Hunter,3,0.00,1.00,Spectrum 2 Case
G3SG1 | Jungle Dashed,1,0.00,1.00,The Lake Collection
G3SG1 | Murky,3,0.00,0.25,Operation Vanguard Weapon Case
G3SG1 | Orange Crash,3,0.00,1.00,Chroma 3 Case
G3SG1 | Orange Kimono,1,0.00,0.80,The Rising Sun Collection
G3SG1 | Polar Camo,1,0.00,1.00,The Train Collection
G3SG1 | Safari Mesh,1,0.00,1.00,The Mirage Collection
G3SG1 | Scavenger,4,0.00,1.00,Danger Zone Case
G3SG1 | Stinger,4,0.00,1.00,Glove Case
G3SG1 | The Executioner,5,0.14,0.85,Revolver Case
G3SG1 | VariCamo,2,0.00,1.00,The Safehouse Collection
G3SG1 | Ventilator,3,0.00,1.00,Gamma 2 Case
G3SG1 | Violet Murano,3,0.00,1.00,The Canals Collection
Galil AR | Akoben,3,0.00,1.00,Prisma Case
Galil AR | Aqua Terrace,3,0.00,0.70,The Rising Sun Collection
Galil AR | Black Sand,3,0.00,1.00,Glove Case
Galil AR | Blue Titanium,3,0.00,0.04,eSports 2013 Winter Case
Galil AR | Cerberus,4,0.00,1.00,The Cache Collection
Galil AR | Chatterbox,6,0.35,0.85,Chroma Case
Galil AR | Cold Fusion,2,0.00,1.00,The 2018 Nuke Collection
Galil AR | Crimson Tsunami,4,0.00,1.00,Spectrum Case
Galil AR | Eco,5,0.10,0.85,Chroma 2 Case
Galil AR | Firefight,4,0.00,1.00,Chroma 3 Case
Galil AR | Hunting Blind,1,0.00,0.60,The Mirage Collection
Galil AR | Kami,3,0.00,0.60,Huntsman Weapon Case
Galil AR | Orange DDPAT,4,0.00,1.00,eSports 2013 Case
Galil AR | Rocket Pop,3,0.00,1.00,Falchion Case
Galil AR | Sage Spray,1,0.00,1.00,The Lake Collection
Galil AR | Sandstorm,3,0.00,1.00,Winter Offensive Weapon Case
Galil AR | Shattered,3,0.00,1.00,Operation Bravo Case
Galil AR | Signal,4,0.00,1.00,Danger Zone Case
Galil AR | Stone Cold,4,0.00,1.00,Shadow Case
Galil AR | Sugar Rush,5,0.00,1.00,Operation Hydra Case
Galil AR | Tornado,1,0.00,1.00,The Norse Collection
Galil AR | Tuxedo,3,0.00,1.00,The Bank Collection
Galil AR | Urban Rubble,2,0.00,1.00,The Chop Shop Collection
Galil AR | VariCamo,2,0.00,1.00,The Safehouse Collection
Galil AR | Winter Forest,2,0.00,1.00,The Office Collection
M249 | Aztec,4,0.00,1.00,CS20 Case
M249 | Blizzard Marbleized,2,0.00,1.00,The Office Collection
M249 | Contrast Spray,1,0.00,1.00,The Overpass Collection
M249 | Emerald Poison Dart,4,0.00,1.00,Spectrum Case
M249 | Gator Mesh,2,0.00,0.60,The Safehouse Collection
M249 | Impact Drill,1,0.00,1.00,The Chop Shop Collection
M249 | Jungle,1,0.00,1.00,The St. Marc Collection
M249 | Jungle DDPAT,1,0.00,1.00,The Alpha Collection
M249 | Magma,3,0.00,1.00,Winter Offensive Weapon Case
M249 | Nebula Crusader,4,0.00,1.00,Shadow Case
M249 | Shipping Forecast,2,0.00,0.50,The Gods and Monsters Collection
M249 | Spectre,3,0.00,1.00,Chroma 3 Case
M249 | System Lock,3,0.00,1.00,Chroma Case
M249 | Warbird,3,0.00,1.00,Shattered Web Case
M4A4 | Asiimov,6,0.18,1.00,Winter Offensive Weapon Case
M4A4 | Bullet Rain,6,0.00,1.00,eSports 2014 Summer Case
M4A4 | Buzz Kill,6,0.00,1.00,Glove Case
M4A4 | Converter,3,0.00,1.00,The 2018 Inferno Collection
M4A4 | Dark Blossom,2,0.00,1.00,The St. Marc Collection
M4A4 | Daybreak,4,0.00,0.60,The Rising Sun Collection
M4A4 | Desert Storm,2,0.00,1.00,The Dust Collection
M4A4 | Desert-Strike,6,0.00,0.70,Huntsman Weapon Case
M4A4 | Desolate Space,5,0.00,1.00,Gamma Case
M4A4 | Evil Daimyo,4,0.00,1.00,Falchion Case
M4A4 | Faded Zebra,3,0.00,1.00,eSports 2013 Case
M4A4 | Griffin,4,0.00,0.80,Operation Vanguard Weapon Case
M4A4 | Hellfire,5,0.00,1.00,Operation Hydra Case
M4A4 | Howl,7,0.00,1.00,No collection
M4A4 | Jungle Tiger,2,0.00,1.00,The Aztec Collection
M4A4 | Magnesium,3,0.00,1.00,Danger Zone Case
M4A4 | Mainframe,2,0.00,1.00,The 2018 Nuke Collection
M4A4 | Modern Hunter,4,0.00,1.00,The Militia Collection
M4A4 | Neo-Noir,6,0.00,1.00,Clutch Case
M4A4 | Poseidon,5,0.00,1.00,The Gods and Monsters Collection
M4A4 | Radiation Hazard,3,0.00,1.00,The Nuke Collection
M4A4 | Royal Paladin,6,0.00,1.00,Revolver Case
M4A4 | The Battlestar,6,0.00,0.64,Operation Wildfire Case
M4A4 | The Emperor,6,0.00,1.00,Prisma Case
M4A4 | Tornado,2,0.00,1.00,The Inferno Collection
M4A4 | Urban DDPAT,2,0.00,1.00,The Train Collection
M4A4 | X-Ray,6,0.00,1.00,eSports 2013 Winter Case
M4A4 | Zirka,4,0.00,1.00,Operation Bravo Case
M4A4 | 龍王 (Dragon King),5,0.00,0.75,Chroma Case
MAC-10 | Aloha,3,0.00,1.00,Operation Hydra Case
MAC-10 | Amber Fade,3,0.00,0.40,The Mirage Collection
MAC-10 | Calf Skin,2,0.00,1.00,The 2018 Inferno Collection
MAC-10 | Candy Apple,2,0.00,0.30,The Train Collection
MAC-10 | Carnivore,3,0.00,1.00,Gamma Case
MAC-10 | Classic Crate,3,0.00,1.00,CS20 Case
MAC-10 | Commuter,2,0.00,1.00,The Baggage Collection
MAC-10 | Copper Borre,3,0.00,1.00,The Norse Collection
MAC-10 | Curse,4,0.00,0.50,The Huntsman Collection
MAC-10 | Disco Tech,5,0.00,1.00,Prisma 2 Case
MAC-10 | Fade,3,0.00,1.00,The Chop Shop Collection
MAC-10 | Graven,4,0.00,1.00,Operation Bravo Case
MAC-10 | Heat,4,0.00,1.00,Operation Phoenix Weapon Case
MAC-10 | Indigo,1,0.00,1.00,The Cobblestone Collection
MAC-10 | Lapis Gator,3,0.00,1.00,Operation Wildfire Case
MAC-10 | Last Dive,4,0.00,1.00,Spectrum Case
MAC-10 | Malachite,4,0.00,0.50,Chroma Case
MAC-10 | Neon Rider,6,0.00,1.00,Chroma 2 Case
MAC-10 | Nuclear Garden,3,0.00,0.70,The Cache Collection
MAC-10 | Oceanic,3,0.00,1.00,Spectrum 2 Case
MAC-10 | Palm,2,0.00,1.00,The Dust 2 Collection
MAC-10 | Pipe Down,4,0.00,1.00,Danger Zone Case
MAC-10 | Rangeen,3,0.00,1.00,Shadow Case
MAC-10 | Red Filigree,4,0.00,1.00,The Canals Collection
MAC-10 | Silver,2,0.00,0.08,The Bank Collection
MAC-10 | Stalker,6,0.00,1.00,Shattered Web Case
MAC-10 | Surfwood,1,0.00,1.00,The St. Marc Collection
MAC-10 | Tatter,4,0.00,1.00,Huntsman Weapon Case
MAC-10 | Tornado,1,0.00,1.00,The Militia Collection
MAC-10 | Ultraviolet,3,0.00,1.00,eSports 2014 Summer Case
MAC-10 | Urban DDPAT,1,0.00,1.00,The Vertigo Collection
MAC-10 | Whitefish,3,0.00,1.00,Prisma Case
P90 | Ash Wood,2,0.00,0.45,The Train Collection
P90 | Asiimov,6,0.00,1.00,Operation Breakout Weapon Case
P90 | Astral Jörmungandr,4,0.00,1.00,The Norse Collection
P90 | Baroque Red,3,0.00,1.00,The Canals Collection
P90 | Blind Spot,4,0.00,0.50,eSports 2013 Winter Case
P90 | Chopper,4,0.00,1.00,Gamma Case
P90 | Cold Blooded,5,0.00,1.00,CS:GO Weapon Case 2
P90 | Death by Kitty,6,0.08,0.32,eSports 2013 Case
P90 | Death Grip,4,0.00,1.00,Operation Hydra Case
P90 | Desert Warfare,3,0.00,1.00,The Huntsman Collection
P90 | Elite Build,3,0.00,1.00,Falchion Case
P90 | Emerald Dragon,5,0.00,0.52,Operation Bravo Case
P90 | Facility Negative,3,0.00,1.00,The 2018 Nuke Collection
P90 | Fallout Warning,2,0.00,1.00,The Nuke Collection
P90 | Glacier Mesh,3,0.00,1.00,The Vertigo Collection
P90 | Grim,3,0.00,1.00,Gamma 2 Case
P90 | Leather,2,0.00,1.00,The Baggage Collection
P90 | Module,3,0.00,1.00,Huntsman Weapon Case
P90 | Nostalgia,5,0.00,1.00,CS20 Case
P90 | Off World,3,0.00,1.00,Prisma Case
P90 | Sand Spray,1,0.00,1.00,The Dust 2 Collection
P90 | Scorched,1,0.00,1.00,The Mirage Collection
P90 | Shallow Grave,5,0.00,1.00,Glove Case
P90 | Shapewood,5,0.00,1.00,Revolver Case
P90 | Storm,1,0.00,1.00,The Cobblestone Collection
P90 | Sunset Lily,2,0.00,1.00,The St. Marc Collection
P90 | Teardown,3,0.00,1.00,The Lake Collection
P90 | Traction,3,0.00,1.00,Horizon Case
P90 | Trigon,5,0.08,0.75,Operation Phoenix Weapon Case
P90 | Virus,4,0.00,1.00,eSports 2014 Summer Case
MP5-SD | Acid Wash,3,0.00,1.00,Shattered Web Case
MP5-SD | Agent,4,0.00,1.00,CS20 Case
MP5-SD | Bamboo Garden,1,0.00,1.00,The St. Marc Collection
MP5-SD | Co-Processor,3,0.00,1.00,The 2018 Nuke Collection
MP5-SD | Desert Strike,3,0.00,1.00,Prisma 2 Case
MP5-SD | Dirt Drop,1,0.00,1.00,The 2018 Inferno Collection
MP5-SD | Gauss,4,0.00,1.00,Prisma CasePrisma Case
MP5-SD | Lab Rats,4,0.00,1.00,The Blacksite Collection
MP5-SD | Phosphor,5,0.00,1.00,Danger Zone Case
UMP-45 | Arctic Wolf,4,0.00,1.00,Clutch Case
UMP-45 | Blaze,3,0.00,0.08,The Mirage Collection
UMP-45 | Bone Pile,3,0.00,0.34,Operation Bravo Case
UMP-45 | Briefing,3,0.00,1.00,Gamma 2 Case
UMP-45 | Caramel,1,0.00,1.00,The Assault Collection
UMP-45 | Carbon Fiber,2,0.00,0.12,The Bank Collection
UMP-45 | Corporal,3,0.05,0.75,Operation Phoenix Weapon Case
UMP-45 | Day Lily,3,0.00,1.00,The St. Marc Collection
UMP-45 | Delusion,3,0.06,0.35,Operation Vanguard Weapon Case
UMP-45 | Exposure,4,0.00,1.00,Spectrum 2 Case
UMP-45 | Facility Dark,1,0.00,1.00,The 2018 Nuke Collection
UMP-45 | Fallout Warning,2,0.00,1.00,The Nuke Collection
UMP-45 | Grand Prix,4,0.25,0.35,Chroma 2 Case
UMP-45 | Gunsmoke,2,0.00,1.00,The Italy Collection
UMP-45 | Indigo,1,0.00,1.00,The Cobblestone Collection
UMP-45 | Labyrinth,3,0.00,0.40,Operation Breakout Weapon Case
UMP-45 | Metal Flowers,3,0.00,1.00,Operation Hydra Case
UMP-45 | Minotaur's Labyrinth,3,0.00,1.00,The Gods and Monsters Collection
UMP-45 | Momentum,5,0.00,1.00,Danger Zone Case
UMP-45 | Moonrise,4,0.00,1.00,Prisma Case
UMP-45 | Mudder,1,0.00,1.00,The 2018 Inferno Collection
UMP-45 | Plastique,4,0.00,1.00,CS20 Case
UMP-45 | Primal Saber,5,0.00,1.00,Chroma 3 Case
UMP-45 | Riot,3,0.00,1.00,Falchion Case
UMP-45 | Scaffold,4,0.00,1.00,Spectrum Case
UMP-45 | Scorched,1,0.00,1.00,The Overpass Collection
UMP-45 | Urban DDPAT,1,0.00,1.00,The Train Collection
XM1014 | Banana Leaf,2,0.00,1.00,The St. Marc Collection
XM1014 | Black Tie,4,0.00,1.00,Chroma 3 Case
XM1014 | Blaze Orange,3,0.00,1.00,The Militia Collection
XM1014 | Blue Spruce,1,0.00,1.00,The Lake Collection
XM1014 | Blue Steel,2,0.00,1.00,The Lake Collection
XM1014 | Bone Machine,3,0.00,0.60,The Cache Collection
XM1014 | CaliCamo,2,0.00,1.00,The Italy Collection
XM1014 | Fallout Warning,2,0.00,1.00,The Nuke Collection
XM1014 | Frost Borre,3,0.00,1.00,The Norse Collection
XM1014 | Grassland,1,0.00,1.00,The Militia Collection
