Desert Eagle | Blaze,4,0.00,0.08
Glock-18 | Nuclear Garden,4,0.00,1.00
Glock-18 | Off World,3,0.00,1.00
Glock-18 | Oxide Blaze,3,0.00,0.85
Glock-18 | Reactor,3,0.00,1.00
Glock-18 | Royal Legion,4,0.00,1.00
Glock-18 | Sacrifice,3,0.00,1.00
Glock-18 | Sand Dune,2,0.00,1.00
Glock-18 | Steel Disruption,4,0.00,0.20
Glock-18 | Synth Leaf,4,0.00,1.00
Glock-18 | Twilight Galaxy,5,0.00,1.00
Glock-18 | Warhawk,3,0.00,1.00
Glock-18 | Wasteland Rebel,6,0.00,1.00
Glock-18 | Water Elemental,5,0.00,1.00
Glock-18 | Weasel,4,0.00,1.00
Glock-18 | Wraiths,3,0.00,0.80
AK-47 | Aquamarine Revenge,6,0.00,1.00
AK-47 | Asiimov,6,0.00,1.00
AK-47 | Baroque Purple,2,0.00,1.00
AK-47 | Black Laminate,3,0.00,1.00
AK-47 | Bloodsport,6,0.00,1.00
AK-47 | Blue Laminate,4,0.02,0.40
AK-47 | Cartel,5,0.00,0.75
AK-47 | Case Hardened,5,0.00,1.00
AK-47 | Elite Build,3,0.00,1.00
AK-47 | Emerald Pinstripe,4,0.00,1.00
AK-47 | Fire Serpent,6,0.00,0.76
AK-47 | First Class,4,0.00,1.00
AK-47 | Frontside Misty,5,0.00,1.00
AK-47 | Fuel Injector,6,0.00,1.00
AK-47 | Hydroponic,5,0.00,0.80
AK-47 | Jaguar,6,0.00,1.00
AK-47 | Jet Set,5,0.00,1.00
AK-47 | Jungle Spray,2,0.00,1.00
AK-47 | Neon Revolution,6,0.00,1.00
AK-47 | Neon Rider,6,0.00,0.80
AK-47 | Orbit Mk01,4,0.00,0.55
AK-47 | Phantom Disruptor,5,0.00,0.65
AK-47 | Point Disarray,5,0.00,1.00
AK-47 | Predator,2,0.00,1.00
AK-47 | Rat Rod,4,0.00,1.00
AK-47 | Red Laminate,5,0.00,1.00
AK-47 | Redline,5,0.00,1.00
AK-47 | Safari Mesh,2,0.00,1.00
AK-47 | Safety Net,4,0.00,0.60
AK-47 | The Empress,6,0.00,1.00
AK-47 | Uncharted,3,0.00,1.00
AK-47 | Vulcan,6,0.00,0.90
AK-47 | Wasteland Rebel,6,0.05,0.70
AK-47 | Wild Lotus,6,0.00,1.00
AUG | Akihabara Accept,6,0.00,1.00
AUG | Amber Slipstream,3,0.00,1.00
AUG | Anodized Navy,3,0.00,0.08
AUG | Arctic Wolf,4,0.00,0.70
AUG | Aristocrat,4,0.00,1.00
AUG | Bengal Tiger,5,0.00,1.00
AUG | Chameleon,6,0.00,1.00
AUG | Colony,1,0.00,1.00
AUG | Condemned,2,0.00,1.00
AUG | Contractor,1,0.00,1.00
AUG | Copperhead,3,0.00,1.00
AUG | Daedalus,1,0.00,0.55
AUG | Death by Puppy,5,0.00,1.00
AUG | Flame Jörmungandr,4,0.00,0.50
AUG | Fleet Flock,5,0.00,1.00
AUG | Hot Rod,3,0.00,1.00
AUG | Midnight Lily,4,0.00,0.50
AUG | Momentum,5,0.05,1.00
AUG | Navy Murano,1,0.00,1.00
AUG | Radiation Hazard,2,0.00,1.00
AUG | Random Access,4,0.00,1.00
AUG | Ricochet,3,0.00,0.80
AUG | Storm,1,0.00,1.00
AUG | Stymphalian,5,0.00,1.00
AUG | Sweeper,1,0.00,1.00
AUG | Syd Mead,5,0.00,0.80
AUG | Tom Cat,3,0.00,1.00
AUG | Torque,4,0.00,1.00
AUG | Triqua,3,0.00,1.00
AUG | Wings,3,0.00,0.14
AWP | Acheron,3,0.00,0.83
AWP | Asiimov,6,0.18,1.00
AWP | Atheris,4,0.00,1.00
AWP | BOOM,5,0.00,1.00
AWP | Capillary,3,0.05,0.70
AWP | Containment Breach,6,0.00,1.00
AWP | Corticera,5,0.00,1.00
AWP | Dragon Lore,6,0.00,0.70
AWP | Electric Hive,5,0.00,1.00
AWP | Elite Build,5,0.00,1.00
AWP | Fever Dream,5,0.00,0.55
AWP | Graphite,5,0.00,0.12
AWP | Gungnir,6,0.00,0.60
AWP | Hyper Beast,6,0.00,1.00
AWP | Lightning Strike,6,0.00,1.00
AWP | Man-o'-war,6,0.00,1.00
AWP | Medusa,6,0.00,1.00
AWP | Mortis,5,0.00,0.64
AWP | Neo-Noir,6,0.00,1.00
AWP | Oni Taiji,6,0.00,0.50
AWP | PAW,4,0.00,1.00
AWP | Phobos,4,0.00,1.00
AWP | Pink DDPAT,4,0.00,1.00
AWP | Pit Viper,4,0.00,1.00
AWP | Redline,5,0.10,0.40
AWP | Safari Mesh,2,0.00,1.00
AWP | Snake Camo,3,0.00,1.00
AWP | Sun in Leo,2,0.00,1.00
AWP | The Prince,6,0.00,1.00
AWP | Wildfire,6,0.00,1.00
AWP | Worm God,4,0.00,0.45
FAMAS | Afterimage,5,0.02,0.40
FAMAS | Colony,1,0.00,1.00
FAMAS | Commemoration,6,0.00,1.00
FAMAS | Contrast Spray,1,0.00,1.00
FAMAS | Crypsis,3,0.00,0.55
FAMAS | Cyanospatter,2,0.00,1.00
FAMAS | Decommissioned,3,0.00,1.00
FAMAS | Djinn,5,0.00,1.00
FAMAS | Doomkitty,3,0.00,1.00
FAMAS | Eye of Athena,5,0.00,0.70
FAMAS | Hexane,3,0.00,0.40
FAMAS | Macabre,3,0.00,1.00
FAMAS | Mecha Industries,5,0.00,0.50
FAMAS | Neural Net,4,0.00,0.60
FAMAS | Night Borre,1,0.00,0.55
FAMAS | Pulse,4,0.00,1.00
FAMAS | Roll Cage,6,0.00,1.00
FAMAS | Sergeant,4,0.00,1.00
FAMAS | Spitfire,4,0.00,1.00
FAMAS | Styx,4,0.00,1.00
FAMAS | Sundown,3,0.00,1.00
FAMAS | Survivor Z,3,0.00,1.00
FAMAS | Teardown,3,0.00,1.00
FAMAS | Valence,4,0.00,1.00
G3SG1 | Arctic Camo,2,0.00,1.00
G3SG1 | Azure Zebra,3,0.00,1.00
G3SG1 | Black Sand,3,0.00,1.00
G3SG1 | Chronos,4,0.00,0.40
G3SG1 | Contractor,1,0.00,1.00
G3SG1 | Demeter,3,0.00,1.00
G3SG1 | Desert Storm,1,0.00,1.00
G3SG1 | Flux,5,0.00,0.90
G3SG1 | Green Apple,2,0.00,0.30
G3SG1 | High Seas,4,0.00,1.00
G3SG1 | Hunter,3,0.00,1.00
G3SG1 | Jungle Dashed,1,0.00,1.00
G3SG1 | Murky,3,0.00,0.25
G3SG1 | Orange Crash,3,0.00,0.52
G3SG1 | Orange Kimono,1,0.00,0.80
G3SG1 | Polar Camo,1,0.00,1.00
G3SG1 | Safari Mesh,1,0.00,1.00
G3SG1 | Scavenger,4,0.00,0.65
G3SG1 | Stinger,4,0.00,0.70
G3SG1 | The Executioner,5,0.14,0.85
G3SG1 | VariCamo,2,0.00,1.00
G3SG1 | Ventilator,3,0.00,1.00
G3SG1 | Violet Murano,3,0.00,1.00
Galil AR | Akoben,3,0.00,1.00
Galil AR | Aqua Terrace,3,0.00,0.70
Galil AR | Black Sand,3,0.00,1.00
Galil AR | Blue Titanium,3,0.00,0.04
Galil AR | Cerberus,4,0.00,1.00
Galil AR | Chatterbox,6,0.35,0.85
Galil AR | Cold Fusion,2,0.00,0.83
Galil AR | Crimson Tsunami,4,0.00,1.00
Galil AR | Eco,5,0.10,0.85
Galil AR | Firefight,4,0.00,1.00
Galil AR | Hunting Blind,1,0.00,0.60
Galil AR | Kami,3,0.00,0.60
Galil AR | Orange DDPAT,4,0.00,1.00
Galil AR | Rocket Pop,3,0.00,1.00
Galil AR | Sage Spray,1,0.00,1.00
Galil AR | Sandstorm,3,0.00,1.00
Galil AR | Shattered,3,0.00,1.00
Galil AR | Signal,4,0.00,1.00
Galil AR | Stone Cold,4,0.00,1.00
Galil AR | Sugar Rush,5,0.00,1.00
Galil AR | Tornado,1,0.00,1.00
Galil AR | Tuxedo,3,0.00,1.00
Galil AR | Urban Rubble,2,0.00,1.00
Galil AR | VariCamo,2,0.00,1.00
Galil AR | Winter Forest,2,0.00,1.00
M249 | Aztec,4,0.00,1.00
M249 | Blizzard Marbleized,2,0.00,1.00
M249 | Contrast Spray,1,0.00,1.00
M249 | Emerald Poison Dart,4,0.00,0.45
M249 | Gator Mesh,2,0.00,0.60
M249 | Impact Drill,1,0.00,1.00
M249 | Jungle,1,0.00,1.00
M249 | Jungle DDPAT,1,0.00,1.00
M249 | Magma,3,0.00,1.00
M249 | Nebula Crusader,4,0.00,1.00
M249 | Shipping Forecast,2,0.00,0.50
M249 | Spectre,3,0.00,0.50
M249 | System Lock,3,0.00,1.00
M249 | Warbird,3,0.05,0.65
M4A4 | Asiimov,6,0.18,1.00
M4A4 | Bullet Rain,6,0.00,1.00
M4A4 | Buzz Kill,6,0.00,0.70
M4A4 | Converter,3,0.00,0.40
M4A4 | Dark Blossom,2,0.00,1.00
M4A4 | Daybreak,4,0.00,0.60
M4A4 | Desert Storm,2,0.00,1.00
M4A4 | Desert-Strike,6,0.00,0.70
M4A4 | Desolate Space,5,0.00,1.00
M4A4 | Evil Daimyo,4,0.00,1.00
M4A4 | Faded Zebra,3,0.00,1.00
M4A4 | Griffin,4,0.00,0.80
M4A4 | Hellfire,5,0.00,0.50
M4A4 | Howl,7,0.00,1.00
M4A4 | Jungle Tiger,2,0.00,1.00
M4A4 | Magnesium,3,0.00,1.00
M4A4 | Mainframe,2,0.00,0.50
M4A4 | Modern Hunter,4,0.00,1.00
M4A4 | Neo-Noir,6,0.00,0.90
M4A4 | Poseidon,5,0.00,1.00
M4A4 | Radiation Hazard,3,0.00,1.00
M4A4 | Royal Paladin,6,0.00,1.00
M4A4 | The Battlestar,6,0.00,0.64
M4A4 | The Emperor,6,0.00,1.00
M4A4 | Tornado,2,0.00,1.00
M4A4 | Urban DDPAT,2,0.00,1.00
M4A4 | X-Ray,6,0.00,1.00
M4A4 | Zirka,4,0.00,1.00
M4A4 | 龍王 (Dragon King),5,0.00,0.75
MAC-10 | Aloha,3,0.00,1.00
MAC-10 | Amber Fade,3,0.00,0.40
MAC-10 | Calf Skin,2,0.00,1.00
MAC-10 | Candy Apple,2,0.00,0.30
MAC-10 | Carnivore,3,0.00,1.00
MAC-10 | Classic Crate,3,0.00,1.00
MAC-10 | Commuter,2,0.00,1.00
MAC-10 | Copper Borre,3,0.00,1.00
MAC-10 | Curse,4,0.00,0.50
MAC-10 | Disco Tech,5,0.00,1.00
MAC-10 | Fade,3,0.00,1.00
MAC-10 | Graven,4,0.00,1.00
MAC-10 | Heat,4,0.00,1.00
MAC-10 | Indigo,1,0.00,1.00
MAC-10 | Lapis Gator,3,0.00,1.00
MAC-10 | Last Dive,4,0.00,1.00
MAC-10 | Malachite,4,0.00,0.50
MAC-10 | Neon Rider,6,0.00,1.00
MAC-10 | Nuclear Garden,3,0.00,0.70
MAC-10 | Oceanic,3,0.00,0.60
MAC-10 | Palm,2,0.00,1.00
MAC-10 | Pipe Down,4,0.00,0.90
MAC-10 | Rangeen,3,0.00,1.00
MAC-10 | Red Filigree,4,0.00,1.00
MAC-10 | Silver,2,0.00,0.08
MAC-10 | Stalker,6,0.00,1.00
MAC-10 | Surfwood,1,0.00,1.00
MAC-10 | Tatter,4,0.00,1.00
MAC-10 | Tornado,1,0.00,1.00
MAC-10 | Ultraviolet,3,0.00,1.00
MAC-10 | Urban DDPAT,1,0.00,1.00
MAC-10 | Whitefish,3,0.00,1.00
P90 | Ash Wood,2,0.00,0.45
P90 | Asiimov,6,0.00,1.00
P90 | Astral Jörmungandr,4,0.00,1.00
P90 | Baroque Red,3,0.00,0.50
P90 | Blind Spot,4,0.00,0.50
P90 | Chopper,4,0.00,1.00
P90 | Cold Blooded,5,0.00,1.00
P90 | Death by Kitty,6,0.08,0.32
P90 | Death Grip,4,0.00,1.00
P90 | Desert Warfare,3,0.00,1.00
P90 | Elite Build,3,0.00,1.00
P90 | Emerald Dragon,5,0.00,0.52
P90 | Facility Negative,3,0.00,0.50
P90 | Fallout Warning,2,0.00,1.00
P90 | Glacier Mesh,3,0.00,1.00
P90 | Grim,3,0.00,0.80
P90 | Leather,2,0.00,1.00
P90 | Module,3,0.00,1.00
P90 | Nostalgia,5,0.00,0.57
P90 | Off World,3,0.00,0.75
P90 | Sand Spray,1,0.00,1.00
P90 | Scorched,1,0.00,1.00
P90 | Shallow Grave,5,0.00,0.75
P90 | Shapewood,5,0.00,1.00
P90 | Storm,1,0.00,1.00
P90 | Sunset Lily,2,0.00,1.00
P90 | Teardown,3,0.00,1.00
P90 | Traction,3,0.00,1.00
P90 | Trigon,5,0.08,0.75
P90 | Virus,4,0.00,1.00
MP5-SD | Acid Wash,3,0.00,0.68
MP5-SD | Agent,4,0.00,1.00
MP5-SD | Bamboo Garden,1,0.00,0.55
MP5-SD | Co-Processor,3,0.00,1.00
MP5-SD | Desert Strike,3,0.00,1.00
MP5-SD | Dirt Drop,1,0.00,1.00
MP5-SD | Gauss,4,0.00,1.00
MP5-SD | Lab Rats,4,0.00,0.35
MP5-SD | Phosphor,5,0.00,0.80
UMP-45 | Arctic Wolf,4,0.00,1.00
UMP-45 | Blaze,3,0.00,0.08
UMP-45 | Bone Pile,3,0.00,0.34
UMP-45 | Briefing,3,0.00,1.00
UMP-45 | Caramel,1,0.00,1.00
UMP-45 | Carbon Fiber,2,0.00,0.12
UMP-45 | Corporal,3,0.05,0.75
UMP-45 | Day Lily,3,0.00,0.55
UMP-45 | Delusion,3,0.06,0.35
UMP-45 | Exposure,4,0.00,0.55
UMP-45 | Facility Dark,1,0.00,0.50
UMP-45 | Fallout Warning,2,0.00,1.00
UMP-45 | Grand Prix,4,0.25,0.35
UMP-45 | Gunsmoke,2,0.00,1.00
UMP-45 | Indigo,1,0.00,1.00
UMP-45 | Labyrinth,3,0.00,0.40
UMP-45 | Metal Flowers,3,0.00,0.70
UMP-45 | Minotaur's Labyrinth,3,0.00,1.00
UMP-45 | Momentum,5,0.00,0.50
UMP-45 | Moonrise,4,0.00,0.40
UMP-45 | Mudder,1,0.00,1.00
UMP-45 | Plastique,4,0.00,0.80
UMP-45 | Primal Saber,5,0.00,1.00
UMP-45 | Riot,3,0.00,1.00
UMP-45 | Scaffold,4,0.00,1.00
UMP-45 | Scorched,1,0.00,1.00
UMP-45 | Urban DDPAT,1,0.00,1.00
XM1014 | Banana Leaf,2,0.00,0.60
XM1014 | Black Tie,4,0.00,0.75
XM1014 | Blaze Orange,3,0.00,1.00
XM1014 | Blue Spruce,1,0.00,1.00
XM1014 | Blue Steel,2,0.00,1.00
XM1014 | Bone Machine,3,0.00,0.60
XM1014 | CaliCamo,2,0.00,1.00
XM1014 | Fallout Warning,2,0.00,1.00
XM1014 | Frost Borre,3,0.00,0.50
XM1014 | Grassland,1,0.00,1.00
XM1014 | Heaven Guard,4,0.03,0.50
XM1014 | Incinegator,5,0.00,1.00
XM1014 | Jungle,1,0.00,1.00
XM1014 | Oxide Blaze,3,0.00,1.00
XM1014 | Quicksilver,3,0.00,1.00
XM1014 | Red Leather,3,0.00,0.56
XM1014 | Red Python,3,0.08,0.50
XM1014 | Scumbria,3,0.00,1.00
XM1014 | Seasons,4,0.00,0.50
XM1014 | Slipstream,3,0.00,1.00
XM1014 | Teclu Burner,4,0.00,1.00
XM1014 | Tranquility,5,0.00,1.00
XM1014 | Urban Perforated,1,0.00,1.00
XM1014 | VariCamo Blue,3,0.00,0.50
XM1014 | Ziggy,4,0.00,1.00
PP-Bizon | Antique,4,0.00,0.50
PP-Bizon | Bamboo Print,1,0.00,1.00
PP-Bizon | Blue Streak,4,0.00,1.00
PP-Bizon | Brass,3,0.00,1.00
PP-Bizon | Candy Apple,2,0.00,0.30
PP-Bizon | Carbon Fiber,2,0.00,0.12
PP-Bizon | Chemical Green,2,0.00,0.90
PP-Bizon | Cobalt Halftone,3,0.05,0.45
PP-Bizon | Embargo,4,0.00,1.00
PP-Bizon | Facility Sketch,1,0.00,1.00
PP-Bizon | Forest Leaves,1,0.00,1.00
PP-Bizon | Fuel Rod,4,0.00,1.00
PP-Bizon | Harvester,3,0.00,1.00
PP-Bizon | High Roller,5,0.00,1.00
PP-Bizon | Irradiated Alert,1,0.00,1.00
PP-Bizon | Judgement of Anubis,6,0.00,1.00
PP-Bizon | Jungle Slipstream,3,0.00,1.00
PP-Bizon | Modern Hunter,3,0.00,1.00
PP-Bizon | Night Ops,2,0.00,0.60
PP-Bizon | Night Riot,3,0.00,1.00
PP-Bizon | Osiris,4,0.00,1.00
PP-Bizon | Photic Zone,3,0.00,1.00
PP-Bizon | Rust Coat,3,0.00,1.00
PP-Bizon | Sand Dashed,1,0.00,1.00
PP-Bizon | Seabird,1,0.00,1.00
PP-Bizon | Urban Dashed,1,0.00,1.00
PP-Bizon | Water Sigil,3,0.00,0.50
MAG-7 | Bulldozer,4,0.00,1.00
MAG-7 | Chainmail,2,0.00,0.22
MAG-7 | Cinquedea,5,0.00,1.00
MAG-7 | Cobalt Core,3,0.00,0.50
MAG-7 | Core Breach,4,0.00,1.00
MAG-7 | Counter Terrace,3,0.00,1.00
MAG-7 | Firestarter,3,0.00,1.00
MAG-7 | Hard Water,3,0.00,0.45
MAG-7 | Hazard,3,0.00,1.00
MAG-7 | Heat,4,0.00,1.00
MAG-7 | Heaven Guard,3,0.00,0.40
MAG-7 | Irradiated Alert,1,0.00,1.00
MAG-7 | Justice,5,0.00,1.00
MAG-7 | Memento,3,0.02,0.18
MAG-7 | Metallic DDPAT,2,0.00,0.08
MAG-7 | Petroglyph,4,0.00,1.00
MAG-7 | Popdog,3,0.00,0.80
MAG-7 | Praetorian,4,0.00,0.45
MAG-7 | Rust Coat,1,0.00,1.00
MAG-7 | Sand Dune,1,0.00,1.00
MAG-7 | Seabird,1,0.00,1.00
MAG-7 | Silver,2,0.00,0.08
MAG-7 | Sonar,3,0.00,1.00
MAG-7 | Storm,1,0.00,1.00
MAG-7 | SWAG-7,4,0.00,0.92
Negev | Anodized Navy,3,0.00,1.00
Negev | Army Sheen,1,0.00,0.30
Negev | Boroque Sand,1,0.00,1.00
Negev | Bratatat,3,0.00,1.00
Negev | Bulkhead,2,0.00,1.00
Negev | CaliCamo,2,0.00,1.00
Negev | Dazzle,3,0.00,1.00
Negev | Desert-Strike,3,0.00,1.00
Negev | Lionfish,4,0.00,1.00
Negev | Loudmouth,4,0.14,0.65
Negev | Man-o'-war,3,0.10,0.20
Negev | Mjölnir,5,0.00,1.00
Negev | Nuclear Waste,2,0.00,1.00
Negev | Palm,2,0.00,1.00
Negev | Power Loader,4,0.00,1.00
Negev | Prototype,3,0.00,1.00
Negev | Terrain,3,0.00,0.45
Sawed-Off | Amber Fade,3,0.00,0.40
Sawed-Off | Apocalypto,4,0.00,1.00
Sawed-Off | Bamboo Shadow,1,0.00,0.60
Sawed-Off | Black Sand,3,0.00,0.90
Sawed-Off | Brake Light,3,0.00,0.08
Sawed-Off | Copper,3,0.00,1.00
Sawed-Off | Devourer,5,0.00,1.00
Sawed-Off | First Class,3,0.00,1.00
Sawed-Off | Forest DDPAT,1,0.00,1.00
Sawed-Off | Fubar,3,0.00,1.00
Sawed-Off | Full Stop,3,0.00,0.60
Sawed-Off | Highwayman,4,0.00,1.00
Sawed-Off | Irradiated Alert,1,0.00,1.00
Sawed-Off | Jungle Thicket,1,0.00,0.50
Sawed-Off | Limelight,4,0.00,1.00
Sawed-Off | Morris,3,0.00,1.00
Sawed-Off | Mosaico,2,0.00,1.00
Sawed-Off | Orange DDPAT,4,0.00,1.00
Sawed-Off | Origami,3,0.00,0.55
Sawed-Off | Rust Coat,2,0.00,1.00
Sawed-Off | Sage Spray,1,0.00,1.00
Sawed-Off | Serenity,4,0.00,1.00
Sawed-Off | Snake Camo,2,0.00,1.00
Sawed-Off | The Kraken,6,0.00,1.00
Sawed-Off | Wasteland Princess,5,0.00,0.70
Sawed-Off | Yorick,3,0.00,1.00
Sawed-Off | Zander,3,0.00,1.00
Tec-9 | Army Mesh,1,0.00,1.00
Tec-9 | Avalanche,4,0.00,1.00
Tec-9 | Bamboo Forest,1,0.00,1.00
Tec-9 | Bamboozle,4,0.00,0.80
Tec-9 | Blue Titanium,3,0.00,0.04
Tec-9 | Brass,3,0.00,1.00
Tec-9 | Cracked Opal,3,0.00,1.00
Tec-9 | Cut Out,3,0.00,1.00
Tec-9 | Decimator,5,0.00,1.00
Tec-9 | Flash Out,3,0.00,0.70
Tec-9 | Fubar,3,0.14,1.00
Tec-9 | Fuel Injector,5,0.00,1.00
Tec-9 | Groundwater,1,0.00,1.00
Tec-9 | Hades,2,0.00,1.00
Tec-9 | Ice Cap,3,0.00,1.00
Tec-9 | Isaac,3,0.00,1.00
Tec-9 | Jambiya,3,0.00,1.00
Tec-9 | Nuclear Threat,4,0.00,1.00
Tec-9 | Orange Murano,2,0.00,1.00
Tec-9 | Ossified,3,0.00,1.00
Tec-9 | Red Quartz,4,0.00,0.40
Tec-9 | Re-Entry,4,0.00,0.43
Tec-9 | Remote Control,5,0.00,1.00
Tec-9 | Rust Leaf,2,0.00,0.50
Tec-9 | Sandstorm,3,0.10,0.70
Tec-9 | Snek-9,3,0.00,1.00
Tec-9 | Terrace,3,0.00,1.00
Tec-9 | Titanium Bit,4,0.00,1.00
Tec-9 | Tornado,1,0.00,1.00
Tec-9 | Toxic,3,0.00,0.70
Tec-9 | Urban DDPAT,1,0.00,1.00
Tec-9 | VariCamo,2,0.00,1.00
P2000 | Acid Etched,4,0.00,1.00
P2000 | Amber Fade,4,0.00,0.40
P2000 | Chainmail,3,0.00,0.22
P2000 | Coach Class,2,0.00,1.00
P2000 | Corticera,5,0.00,1.00
P2000 | Fire Elemental,6,0.00,1.00
P2000 | Granite Marbleized,2,0.00,1.00
P2000 | Grassland,2,0.00,1.00
P2000 | Grassland Leaves,2,0.00,1.00
P2000 | Handgun,4,0.00,1.00
P2000 | Imperial,3,0.00,1.00
P2000 | Imperial Dragon,5,0.00,1.00
P2000 | Ivory,3,0.00,1.00
P2000 | Obsidian,4,0.00,1.00
P2000 | Ocean Foam,5,0.00,1.00
P2000 | Oceanic,3,0.00,1.00
P2000 | Pathfinder,2,0.00,1.00
P2000 | Pulse,3,0.00,0.60
P2000 | Red FragCam,3,0.00,0.70
P2000 | Scorpion,4,0.00,1.00
P2000 | Silver,3,0.00,0.08
P2000 | Turf,3,0.00,1.00
P2000 | Urban Hazard,3,0.00,1.00
P2000 | Woodsman,4,0.00,1.00
MP7 | Akoben,3,0.00,1.00
MP7 | Anodized Navy,3,0.00,1.00
MP7 | Armor Core,3,0.00,1.00
MP7 | Army Recon,1,0.00,1.00
MP7 | Asterion,1,0.00,0.55
MP7 | Bloodsport,6,0.00,1.00
MP7 | Cirrus,3,0.00,1.00
MP7 | Fade,4,0.00,0.25
MP7 | Forest DDPAT,1,0.00,1.00
MP7 | Full Stop,3,0.00,0.60
MP7 | Groundwater,1,0.00,1.00
MP7 | Gunsmoke,2,0.00,1.00
MP7 | Impire,4,0.00,1.00
MP7 | Mischief,3,0.10,1.00
